min	mS/cm	percent_B
0	1.36	0
0.266	1.36	15
0.532	1.36	15
0.799	1.361	15
1.065	1.361	15
1.332	1.361	15
1.598	1.536	15
1.865	3.834	15
2.131	7.725	15
2.397	10.948	15
2.664	12.95	15
2.93	14.338	15
3.197	15.163	15
3.463	15.678	15
3.73	16.054	15
3.996	16.303	15
4.262	16.496	15
4.529	16.609	15
4.795	16.698	15
5.062	16.745	15
5.328	16.769	15
5.595	16.803	15
5.861	16.798	15
6.127	16.815	15
6.394	16.833	15
6.66	16.824	15
6.927	16.829	15
7.193	16.826	15
7.459	16.843	15
7.726	16.831	15
7.992	16.847	15
8.259	16.839	15
8.525	16.83	15
8.792	16.842	15
9.058	16.828	15
9.324	16.824	15
9.591	16.82	15
9.857	16.833	15
10.124	16.821	15
10.39	16.827	20
10.657	16.812	20
10.923	16.782	20
11.189	16.783	20
11.456	16.756	20
11.722	17.25	20
11.989	18.588	20
12.255	19.557	20
12.522	20.19	20
12.788	20.589	20
13.054	20.838	20
13.321	21	20
13.587	21.098	20
13.854	21.162	20
14.12	21.193	20
14.386	21.222	20
14.653	21.237	20
14.919	21.259	20
15.186	21.265	20
15.452	21.262	20
15.719	21.271	20
15.985	21.259	20
16.251	21.269	20
16.518	21.271	20
16.784	21.266	20
17.051	21.263	20
17.317	21.272	20
17.584	21.276	20
17.85	21.291	20
18.116	21.287	20
18.383	21.293	20
18.649	21.309	20
18.916	21.308	20
19.182	21.317	20
19.449	21.34	20
19.715	21.337	20
19.981	21.348	20
20.248	21.363	25
20.514	21.375	25
20.781	21.386	25
21.047	21.384	25
21.313	21.389	25
21.58	21.436	25
21.846	22.386	25
22.113	23.608	25
22.379	24.454	25
22.646	24.999	25
22.912	25.352	25
23.178	25.581	25
23.445	25.749	25
23.711	25.84	25
23.978	25.899	25
24.244	25.948	25
24.511	25.972	25
24.777	26	25
25.043	26.031	25
25.31	26.036	25
25.576	26.047	25
25.843	26.049	25
26.109	26.067	25
26.376	26.08	25
26.642	26.096	25
26.908	26.079	25
27.175	26.097	25
27.441	26.094	25
27.708	26.114	25
27.974	26.104	25
28.24	26.105	25
28.507	26.123	25
28.773	26.116	25
29.04	26.109	25
29.306	26.128	25
29.573	26.134	25
29.839	26.14	25
30.105	26.151	25
30.372	26.145	30
30.638	26.148	30
30.905	26.167	30
31.171	26.152	30
31.438	26.18	30
31.704	26.49	30
31.97	27.794	30
32.237	28.824	30
32.503	29.477	30
32.77	29.943	30
33.036	30.223	30
33.303	30.402	30
33.569	30.523	30
33.835	30.622	30
34.102	30.674	30
34.368	30.695	30
34.635	30.72	30
34.901	30.752	30
35.167	30.755	30
35.434	30.77	30
35.7	30.779	30
35.967	30.781	30
36.233	30.795	30
36.5	30.802	30
36.766	30.791	30
37.032	30.791	30
37.299	30.785	30
37.565	30.783	30
37.832	30.797	30
38.098	30.797	30
38.365	30.788	30
38.631	30.793	30
38.897	30.797	30
39.164	30.818	30
39.43	30.815	30
39.697	30.821	30
39.963	30.806	30
